"oeuvre","uri","bib_ref","id","cat_uri","abstract","pages"
"http://data.bnf.fr/ark:/12148/cb12045196m","","Bibliothèque nationale de France. Département des manuscrits -- Manuscrit. Français 1600","12045196","https://catalogue.bnf.fr/ark:/12148/cb12045196m","Recueil de rébus, daté du 16e s.","http://data.bnf.fr/12045196/bibliotheque_nationale_de_france__departement_des_manuscrits_--_manuscrit__francais_1600/"
"http://data.bnf.fr/ark:/12148/cb16933829t","","Bibliothèque Mazarine (Paris) -- Manuscrit. Ms. 473","16933829","https://catalogue.bnf.fr/ark:/12148/cb16933829t","Vélin. 217 feuillets ; longues lignes. Manuscrit inachevé et mutilé","http://data.bnf.fr/16933829/bibliotheque_mazarine__paris__--_manuscrit__ms__473/"
"http://data.bnf.fr/ark:/12148/cb122415367","","Università degli studi. Biblioteca (Padoue, Italie) -- Manuscrit. Ms. 860","12241536","https://catalogue.bnf.fr/ark:/12148/cb122415367","","http://data.bnf.fr/12241536/universita_degli_studi__biblioteca__padoue__italie__--_manuscrit__ms__860/"
"http://data.bnf.fr/ark:/12148/cb121652923","","Lambeth Palace Library (Londres) -- Manuscrit. Ms. 1112","12165292","https://catalogue.bnf.fr/ark:/12148/cb121652923","Manuscrit du""Discourse to the bishop of London"" par Robert Tofte","http://data.bnf.fr/12165292/lambeth_palace_library__londres__--_manuscrit__ms__1112/"
"http://data.bnf.fr/ark:/12148/cb150527725","","Biblioteca Medicea Laurenziana (Florence, Italie) -- Manuscrit Ms. Laurenziano Plut. XXVII sin. 5","15052772","https://catalogue.bnf.fr/ark:/12148/cb150527725","Dictionnaire manuscrit encyclopédique, daté de 1236","http://data.bnf.fr/15052772/biblioteca_medicea_laurenziana__florence__italie__--_manuscrit_ms__laurenziano_plut__xxvii_sin__5/"
"http://data.bnf.fr/ark:/12148/cb17112248j","","Istanbul üniversitesi. Kütüphane -- Manuscrit. T. 739","17112248","https://catalogue.bnf.fr/ark:/12148/cb17112248j","Anthologie des poésies en turc ottoman","http://data.bnf.fr/17112248/istanbul_universitesi__kutuphane_--_manuscrit__t__739/"
"http://data.bnf.fr/ark:/12148/cb12287296j","","Bibliothèque d'État de Russie -- Manuscrit. Ms. Bolʹšakov f. 37, 342","12287296","https://catalogue.bnf.fr/ark:/12148/cb12287296j","Manuscrit slavon du XVIIe siècle portant la cote f. 37 n ̊342 de la collection T. F. Bolʹšakov","http://data.bnf.fr/12287296/bibliotheque_d_etat_de_russie_--_manuscrit__ms__bol_sakov_f__37__342/"
"http://data.bnf.fr/ark:/12148/cb155017613","","Württembergische Landesbibliothek (Stuttgart, Allemagne) -- Manuscrit. Cod. hist. 2° 415","15501761","https://catalogue.bnf.fr/ark:/12148/cb155017613","","http://data.bnf.fr/15501761/wurttembergische_landesbibliothek__stuttgart__allemagne__--_manuscrit__cod__hist__2__415/"
"http://data.bnf.fr/ark:/12148/cb32781327m","","Gazette manuscrite, ou Bulletin à la main","32781327","https://catalogue.bnf.fr/ark:/12148/cb32781327m","",""
"http://data.bnf.fr/ark:/12148/cb11973420r","","Cologne. Historisches Archiv (Allemagne) -- Manuscrit. Ceremoniale","11973420","https://catalogue.bnf.fr/ark:/12148/cb11973420r","","http://data.bnf.fr/11973420/cologne__historisches_archiv__allemagne__--_manuscrit__ceremoniale/"
"http://data.bnf.fr/ark:/12148/cb177084758","","Bibliothèque nationale de France. Département des manuscrits -- Manuscrit. Français 19969","17708475","https://catalogue.bnf.fr/ark:/12148/cb177084758","Manuscrit en français des Oeuvres alchimiques de Raymond Lull daté du XVIe siècle, contenant une lettre de Jean Pontanus sur la pierre philosophale","http://data.bnf.fr/17708475/bibliotheque_nationale_de_france__departement_des_manuscrits_--_manuscrit__francais_19969/"
"http://data.bnf.fr/ark:/12148/cb13773931q","","Bibliothèque nationale de France. Département des manuscrits -- Manuscrit. Français 11608","13773931","https://catalogue.bnf.fr/ark:/12148/cb13773931q","Manuscrit français daté de 1325. Rentes dues à la Maison Saint-Nicolas, à Lille (fol. 1-58 v°) ; obituaire de la même maison (fol. 59 r°-70 v°)","http://data.bnf.fr/13773931/bibliotheque_nationale_de_france__departement_des_manuscrits_--_manuscrit__francais_11608/"
"http://data.bnf.fr/ark:/12148/cb12025811x","","Manuscrits coptes","12025811","https://catalogue.bnf.fr/ark:/12148/cb12025811x","","http://data.bnf.fr/12025811/manuscrits_coptes/"
"http://data.bnf.fr/ark:/12148/cb15003716w","","Médiathèque (Saint-Dié, Vosges) -- Manuscrit Ms. 42","15003716","https://catalogue.bnf.fr/ark:/12148/cb15003716w","","http://data.bnf.fr/15003716/mediatheque__saint-die__vosges__--_manuscrit_ms__42/"
"http://data.bnf.fr/ark:/12148/cb16986502q","http://data.bnf.fr/ark:/12148/cb11885557w#about","Médiathèque du Grand Troyes -- Manuscrit 802","16986502","https://catalogue.bnf.fr/ark:/12148/cb16986502q","Petit manuscrit en parchemin (250 X 190 mm) composé de 241 folios.","http://data.bnf.fr/16986502/mediatheque_du_grand_troyes_--_manuscrit_802/"
"http://data.bnf.fr/ark:/12148/cb16635203f","","Bibliothèque nationale de France. Département des manuscrits -- Manuscrit. NAL 392","16635203","https://catalogue.bnf.fr/ark:/12148/cb16635203f","Manuscrit en latin sur parchemin, copié et peint vers l'année 1514, très probablement dans la ville de Rouen","http://data.bnf.fr/16635203/bibliotheque_nationale_de_france__departement_des_manuscrits_--_manuscrit__nal_392/"
"http://data.bnf.fr/ark:/12148/cb13166502h","","Staatsbibliothek (Berlin) -- Manuscrit. Ms. Ital. qu. 26","13166502","https://catalogue.bnf.fr/ark:/12148/cb13166502h","","http://data.bnf.fr/13166502/staatsbibliothek__berlin__--_manuscrit__ms__ital__qu__26/"
"http://data.bnf.fr/ark:/12148/cb12210621m","","Biblioteca nazionale centrale (Florence, Italie) -- Manuscrit. Ms Palatino 468","12210621","https://catalogue.bnf.fr/ark:/12148/cb12210621m","","http://data.bnf.fr/12210621/biblioteca_nazionale_centrale__florence__italie__--_manuscrit__ms_palatino_468/"
"http://data.bnf.fr/ark:/12148/cb12510512w","","British library -- Manuscrit. Ms. Arundel 292","12510512","https://catalogue.bnf.fr/ark:/12148/cb12510512w","","http://data.bnf.fr/12510512/british_library_--_manuscrit__ms__arundel_292/"
"http://data.bnf.fr/ark:/12148/cb171074096","","Biblioteca apostolica vaticana -- Manuscrit. Ms. Vat. Ebr. 189","17107409","https://catalogue.bnf.fr/ark:/12148/cb171074096","Traduction latine d'un traité de magie hébraïque médiéval, d'origine hassidico-ashkenaze","http://data.bnf.fr/17107409/biblioteca_apostolica_vaticana_--_manuscrit__ms__vat__ebr__189/"
"http://data.bnf.fr/ark:/12148/cb156448466","","Biblioteca Batthyaneum (Alba Iulia, Roumanie) -- Manuscrit. Ms 889","15644846","https://catalogue.bnf.fr/ark:/12148/cb156448466","Manuscrit contenant 150 psaumes traduits du latin et écrits par Bertalan Halábori en 1508  (Cantique des cantiques, une partie du Livre de Job). - L'académicien Ferenc Toldy (1805-1875) a baptisé le manuscrit du nom de Gábor Döbrentei (1785-1851), en souvenir de ses travaux sur les monuments de la langue hongroise. - Conservé à la bibliothèque Batthyany, sous la cote Ms 899 (anc. M. Cod. 8-r. 2). - La Bibliothèque de l'Académie des sciences de Hongrie conserve le microfilm réalisé par l'Université Eötvös Loránd sous la cote 7856/ VI","http://data.bnf.fr/15644846/biblioteca_batthyaneum__alba_iulia__roumanie__--_manuscrit__ms_889/"
"http://data.bnf.fr/ark:/12148/cb14520961p","","Biblioteca oratoriana dei Girolamini (Naples, Italie) -- Manuscrit. CF 2 16","14520961","https://catalogue.bnf.fr/ark:/12148/cb14520961p","Texte de la ""Commedia"" de Dante de la main d'un copiste toscan du 14ème siècle, accompagné de 146 miniatures, ainsi que de gloses","http://data.bnf.fr/14520961/biblioteca_oratoriana_dei_girolamini__naples__italie__--_manuscrit__cf_2_16/"
"http://data.bnf.fr/ark:/12148/cb16954820c","","Soleure. Staatsarchiv (Suisse ; Canton) -- Manuscrit. R 1.4.225","16954820","https://catalogue.bnf.fr/ark:/12148/cb16954820c","Manuscrit italien de la fin du 12e siècle : registre des biens de la province de Salerne","http://data.bnf.fr/16954820/soleure__staatsarchiv__suisse___canton__--_manuscrit__r_1_4_225/"
"http://data.bnf.fr/ark:/12148/cb177587456","","Pieux établissements de la France à Rome et à Lorette -- Manuscrit. 884 bis","17758745","https://catalogue.bnf.fr/ark:/12148/cb177587456","","http://data.bnf.fr/17758745/pieux_etablissements_de_la_france_a_rome_et_a_lorette_--_manuscrit__884_bis/"
"http://data.bnf.fr/ark:/12148/cb12033508x","","University of Oregon. Library -- Manuscrit. Ms. CB B54","12033508","https://catalogue.bnf.fr/ark:/12148/cb12033508x","","http://data.bnf.fr/12033508/university_of_oregon__library_--_manuscrit__ms__cb_b54/"
"http://data.bnf.fr/ark:/12148/cb16109176v","","Hérault. Archives départementales -- Manuscrit. Ms. G 1813","16109176","https://catalogue.bnf.fr/ark:/12148/cb16109176v","Statuts du Chapitre cathédral de Maguelone. - Ms. sur parchemin de 76 feuillets, daté de 1333","http://data.bnf.fr/16109176/herault__archives_departementales_--_manuscrit__ms__g_1813/"
"http://data.bnf.fr/ark:/12148/cb12542532m","","British library -- Manuscrit. Ms. Cotton Tiberius B.iv","12542532","https://catalogue.bnf.fr/ark:/12148/cb12542532m","","http://data.bnf.fr/12542532/british_library_--_manuscrit__ms__cotton_tiberius_b_iv/"
"http://data.bnf.fr/ark:/12148/cb170430925","","Bibliothèque nationale de France. Département des manuscrits -- Manuscrit. Français 22912-22913","17043092","https://catalogue.bnf.fr/ark:/12148/cb170430925","Manuscrit composé de deux volumes en parchemin écrit en français et datant du XIVe siècle.. - Ces deux volumes en parchemin ont une reliure maroquin rouge. Ils datent du XIVe siècle. Chaque livre est orné d'une miniature et au bas de presque toutes sont peintes les armes de France","http://data.bnf.fr/17043092/bibliotheque_nationale_de_france__departement_des_manuscrits_--_manuscrit__francais_22912-22913/"
"http://data.bnf.fr/ark:/12148/cb167300731","","Manuscrits. Christ Church College Library. Mus. 984-988","16730073","https://catalogue.bnf.fr/ark:/12148/cb167300731","Recueil de musique polyphonique sacrée latine, profane (anglaise, française et italienne) et instrumentale en parties séparées compilé par Robert Dow (1553-1588). - Contient des oeuvres de Brewster, John Bull, William Byrd, Richard Farrant, Alfonso Ferrabosco, Nathaniel Giles, Robert Johnson, Roland de Lassus, Jean Maillard, Mallorie, William Mundy, Robert Parsons, Roose, Vincenzo Ruffo, John Sheppard, Nicholas Strogers, Thomas Tallis, John Taverner, Tayler, Christopher Tye, Philippe Verdelot, Robert White, Philippe van Wilder et Clement Woodcock","http://data.bnf.fr/16730073/manuscrits__christ_church_college_library__mus__984-988/"
"http://data.bnf.fr/ark:/12148/cb17786040p","","Bibliothèque nationale de France. Département des manuscrits -- Manuscrit. NAF 23312","17786040","https://catalogue.bnf.fr/ark:/12148/cb17786040p","Comptes pour le domaine d'Olivet (Mayenne) et les métairies en dépendant, rendus à Eustache de Beauçay, dame d'Olivet, veuve en secondes noces d'André de Laval (1335-1342). XIVe siècle Parchemin.Rouleau de 9 mètres × 0m 24, dans un étui","http://data.bnf.fr/17786040/bibliotheque_nationale_de_france__departement_des_manuscrits_--_manuscrit__naf_23312/"
